coord_x,coord_y,garage,rooms,size,address,price,type,farmac_dist,mercado_dist,restaurante_dist
-43.9474984,-19.83275555,1,0,60.98,"RUA OSÓRIO DUQUE ESTRADA,N. 454, PLANALTO, BELO HORIZONTE",188,Apartamento,2,0.14,0.07
-43.8929387,-19.8400679,0,2,0,"RUA ANTONIO MARIANO DE ABREU,N. 810, RIBEIRO DE ABREU, BELO HORIZONTE",117,Apartamento,2.33,0.16,0.08
-44.2092822,-19.93517875,0,2,57.43,"RUA SETE,N. 118 CASA 01, BOM REPOUSO, BETIM",124,Casa,20.01,15.95,15.98
-43.96405015,-19.9027163,0,2,99.01,"RUA POUSO ALTO,N. 295 CS 04, MARIMBA, BETIM",119,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,0,2,0,"RUA DAS VIOLETAS,N. 710 BAIRRO JARDIM BELVEDERE, BOA ESPERANÇA, BOA ESPERANCA",73,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,2,3,0,"RUA TARGINO CANDIDO DE OLIVEIRA,N. 98 BAIRRO CERVO, BORDA DA MATA, BORDA DA MATA",262,Casa,0.8,0.09,0.11
-42.2584282,-19.4187646,1,2,73.65,"RUA CHICO CHUMBO,N. 26, CENTRO, BUGRE",111,Apartamento,178.22,174.87,174.78
-43.96405015,-19.9027163,0,3,0,"RUA DEJANIRA NUNES DA SILVEIRA,N. 1197 BAIRRO BELA VISTA, BRASILANDIA DE MINAS, BRASILANDIA DE MINAS",87,Casa,0.8,0.09,0.11
-44.8382062,-20.689505,1,3,120.85,"RUA MAGNO RIBEIRO DA SILVA,N. 251, OLIVEIRA, OLIVEIRA",136,Casa,116.8,111.85,111.89
-43.96405015,-19.9027163,0,0,0,"RUA JOAQUIM LUCIO POVOADO DE SAO JOSE LAT-19º25ª31,68 LON-42º15ª17,94, BUGRE, BUGRE",55,Terreno,0.8,0.09,0.11
-43.96405015,-19.9027163,0,2,0,"RUA DOIS,N. 393 BAIRRO JARDINS I, JAÍBA, JAIBA",38,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,0,0,0,"RUA MARIA ABADIA ARAUJO BRASILEIRO, SIBIPIRUNA, ARAGUARI",36,Terreno,0.8,0.09,0.11
