coord_x,coord_y,size,address,type,price,farmac_dist,mercado_dist,restaurante_dist,regiao_id,bairro
-43.937702,-19.8722926,75,"Rua Pastor Achilles Barbosa, Palmares, Belo Horizonte",3,285,0.11,0.29,0.22,4,Palmares
-43.9934296,-19.8831533,72,"Avenida Presidente Tancredo Neves, Castelo, Belo Horizonte",1,336,0.22,0.21,0.05,8,Castelo
-43.969118,-19.9664166,90,"Rua Paulo Diniz Carneiro, Buritis, Belo Horizonte",3,350,0.11,0.07,0.07,7,Buritis
-43.9170833,-19.901021,65,"Rua SÃ£o Marcos, Sagrada Família, Belo Horizonte",3,270,0.05,0.05,0.05,3,Sagrada Família
-43.9659176,-19.8322334,82,"Rua SÃ£o JoÃ£o da Vereda, Santa Branca, Belo Horizonte",1,325,0.1,0.09,0.1,8,Santa Branca
-43.9799565,-19.8752672,90,"Rua Desembargador Paulo Mota, Ouro Preto, Belo Horizonte",3,350,0.17,0.08,0.14,8,Ouro Preto
-43.957048,-19.8610024,68,"Rua JoÃ£o Fernandes, Liberdade, Belo Horizonte",1,300,0.14,0.1,0.02,8,Liberdade
-43.9774513,-19.9437598,68,"Estrada do Cercadinho, Jardim América, Belo Horizonte",1,310,0.09,0.12,0.15,7,Jardim América
-43.9905403,-19.9622746,87,"Rua Ãšrsula Paulino, Betânia, Belo Horizonte",1,285,0.01,0.01,0.02,7,Betânia
-43.9751979,-19.8137433,80,"Rua Corretor Juventino de Jesus, Candelária, Belo Horizonte",3,250,0.08,0.16,0.15,9,Candelária
-43.9162345,-19.8695246,76,"Rua Paulista, São Marcos, Belo Horizonte",1,350,0.12,0.04,0.2,4,São Marcos
-43.9584282,-19.8531235,74,"Rua Mascarenhas de Morais, São Luíz, Belo Horizonte",1,310,0.03,0.15,0.08,8,São Luíz
-43.9241776,-19.9090225,115,"Rua AntÃ´nio Torres, Sagrada Família, Belo Horizonte",3,340,0.02,0.07,0.11,3,Sagrada Família
-44.0151372,-19.8766367,68,"Rua Geraldo de Lima Viana, Serrano, Belo Horizonte",1,190,0.12,0.13,0.13,8,Serrano
-43.9183681,-19.9056282,81,"Rua SantÃ­ssima Trindade, Sagrada Família, Belo Horizonte",1,320,0.07,0.18,0.03,3,Sagrada Família
-43.924057,-19.8937945,102,"Avenida JosÃ© CÃ¢ndido da Silveira, Sagrada Família, Belo Horizonte",3,330,0.08,0.06,0.06,3,Sagrada Família
-43.9797309,-19.839479,75,"Rua Expedicionarios,Dos, Santa Amélia, Belo Horizonte",3,215,0.13,0.04,0.16,8,Santa Amélia
-44.0164509,-19.9406049,65,"Rua Stella Camargos, Camargos, Belo Horizonte",3,200,0.11,0.04,0.02,7,Camargos
-43.9776899,-19.952835,86,"Rua ZÃ­nia, Havaí, Belo Horizonte",1,275,0.16,0.02,0.15,7,Havaí
-43.9783482,-19.9812272,66,"Avenida Senador JosÃ© Augusto, Buritis, Belo Horizonte",1,330,0.5,0.36,0.09,7,Buritis
-44.0045878,-19.877472,70,"Av Heraclito Mourao de Miranda, Castelo, Belo Horizonte",1,285,0.12,0.1,0.1,8,Castelo
-43.9777146,-19.8994266,75,"Rua HeroÃ­na Maria QuitÃ©ria, Alto Caiçaras, Belo Horizonte",1,268,0.1,0.19,0.05,5,Alto Caiçaras
-43.9688653,-19.9434169,70,"Rua Conselheiro Joaquim Caetano, Nova Granada, Belo Horizonte",1,250,0.06,0.12,0.08,7,Nova Granada
-43.9823913,-19.82147405,82,,3,349,0.14,0.05,0.06,9,Rio Branco
-43.9820616,-19.9393699,85,"Rua Souza GuimarÃ£es, Salgado Filho, Belo Horizonte",1,330,0.08,0.07,0.04,7,Salgado Filho
-43.9294336,-19.8968826,95,"Rua SÃ£o Roque, Graça, Belo Horizonte",3,330,0.26,0.09,0.09,4,Graça
-43.9891458,-19.957074,80,"Rua BoqueirÃ£o, Betânia, Belo Horizonte",3,350,0.11,0.06,0.06,7,Betânia
-43.9792551,-19.9310214,90,"Rua Alpes, Nova Suissa, Belo Horizonte",1,350,0.14,0.02,0.02,7,Nova Suissa
-43.962507,-19.96300525,80,,3,300,0.1,0.1,0.18,7,Estoril
-43.9756669,-19.963756,85,"Rua Marcos Coelho Neto, Havaí, Belo Horizonte",3,325,0.28,0.06,0.08,7,Havaí
-43.9310917,-19.891074,93,"Rua SÃ£o Claret, Silveira, Belo Horizonte",1,320,0.09,0.06,0.03,4,Silveira
-43.9272266,-19.8920313,90,"Rua Nelson Soares de Faria, Cidade Nova, Belo Horizonte",1,350,0.07,0.07,0.08,4,Cidade Nova
-43.9577732,-19.9336313,120,"Rua Herculano de Freitas, Gutierrez, Belo Horizonte",3,350,0.02,0.08,0.04,7,Gutierrez
-43.9132259,-19.9212706,90,"Rua Frutal, Santa Efigênia, Belo Horizonte",1,340,0.09,0.01,0.01,3,Santa Efigênia
-44.0035197,-19.8938758,80,"Rua Leonil Prata, Alípio de Melo, Belo Horizonte",3,210,0.03,0.02,0.02,8,Alípio de Melo
-44.0358546,-20.0007811,65,"Avenida Sen Levindo Coelho, Santa Cecília, Belo Horizonte",3,249,0.04,0.07,0.07,1,Santa Cecília
-44.0044896,-19.9049268,113,"Rua Chapada, Glória, Belo Horizonte",1,265,0.13,0.05,0.05,5,Glória
