coord_x,coord_y,size,address,price,type,farmac_dist,mercado_dist,restaurante_dist,regiao_id,bairro
-41.9579504,-18.8393345,0,"RUA A (RUA UNISTALDA BARROSO GUIMARAES),N. 73, GRA-DUQUESA, GOVERNADOR VALADARES",38,1,228.87,228.73,228.6,6,
-43.8919111,-19.8582527,0,"RUA ERNESTO TOGNOLO,N. 95, VITORIA, BELO HORIZONTE",135,1,0.02,0.18,0.09,4,Pousada Santo Antônio
-47.4082539,-20.5525533,0,"RUA DUQUE DE CAXIAS,N. 33, CENTRO, MONTE ALEGRE DE MINAS",35,3,355.26,355.27,355.29,6,
-49.9419993,-18.6935943,69.87,"RUA BENEDITO WALDEMAR DA SILVA,N. 612, CENTRO, IPIACU",36,3,633.85,633.81,633.84,6,
-43.96405015,-19.9027163,0,"RUA PARANA,N. 141 BAIRRO AMADEU MIGUEL, TRES CORACOES, TRES CORACOES",76,3,0.09,0.09,0.11,5,Caiçaras
-43.9905232,-19.871688,83.27,"RUA JOSE RIBEIRO FILHO,N. 35, OURO PRETO, BELO HORIZONTE",231,1,0.2,0.03,0.03,8,Ouro Preto
-44.60809,-19.8395415,45.83,"RUA ALFREDO LEITE,N. 425, PARA DE MINAS, PARA DE MINAS",93,1,59.08,59.03,59.06,6,
-41.9768368,-18.8711712,111.36,"RUA COROMANDEL,N. 442, NOVA VILA BRETAS, GOVERNADOR VALADARES",117,3,225.44,225.3,225.17,6,
-43.96405015,-19.9027163,0,"RUA GARDENIA,N. 42 BAIRRO CIDADE NOVA, VARZEA DA PALMA, VARZEA DA PALMA",86,3,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,53.75,"RUA IRIRI,N. 661 FUNDOS 2, OLIVEIRAS, DIVINOPOLIS",84,3,0.09,0.09,0.11,5,Caiçaras
-42.5249509,-17.682207,0,"RUA AUSTRALIA,N. 330 BAIRRO JARDIM AEROPORTO, CAPELINHA, CAPELINHA",112,3,276.66,276.71,276.58,6,
-44.0498259,-19.9712168,0,"RUA SETE,N. 201, SANTA MARIA, CONTAGEM",145,1,0.36,0.34,0.27,6,
-43.9750511,-19.9668068,33.75,"RUA DONA LUCI,N. 06, CINQUENTENARIO, BELO HORIZONTE",134,1,0.1,0.14,0.1,7,Havaí
-43.3024806,-15.8230396,0,"RUA MANOEL SERAPIÃO,N. 53 BAIRRO SANTO ANTÔNIO, JANAÚBA, JANAUBA",101,3,444.03,443.53,443.59,6,
-43.9288573,-19.8915469,0,"AVENIDA CRISTIANO MACHADO,N. 1837, 14 E 15, SILVEIRA, BELO HORIZONTE",329,1,0.05,0.04,0.05,4,Silveira
-44.24766965,-19.45653475,0,"AVENIDA PREFEITO ALBERTO MOURA,N. 1349, BAIRRO MORRO VERMELHO, SETE LAGOAS, SETE LAGOAS",144,1,45.42,45.37,45.37,6,
-43.96405015,-19.9027163,0,"RUA TRES PONTAS (AO LADO DO Nº 400) 1ª SÇ, BAIRRO PEDRA BRANCA, SÃO JOAQUIM DE BICAS, SAO JOAQUIM DE BICAS",47,4,0.09,0.09,0.11,5,Caiçaras
-45.9404871,-22.225618,131.6,"RUA PADRE SANTANA,N. 115, CENTRO, POUSO ALEGRE",158,1,314.13,314.19,314.15,6,
-43.96405015,-19.9027163,0,"CHÁCARA TEODORO DIVISA FEPASA PONTILHÃO CÓRREGO (AV PERIMETRAL) (AV PAULO ESPER PIMENTA), SAO FRANCISCO, PASSOS",943,4,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,0,"RUA FRANCISCO RODRIGUES SERRALHA,N. 350 LOTEAMENTO RESIDENCIAL ACÁCIAS, UBERLÂNDIA, UBERLANDIA",58,1,0.09,0.09,0.11,5,Caiçaras
-48.2409836,-18.8882237,0,"RUA FRANCISCO CANDIDO XAVIER,N. 630, ALTO UMUARAMA, UBERLANDIA",63,1,455,454.95,454.98,6,
-44.0457851,-19.9689409,0,"VIA ARTERIAL,N. 615, PARQUE DAS MANGUEIRAS, CONTAGEM",126,1,0.56,0.56,0.59,6,
-43.96405015,-19.9027163,69.96,"Av. Cuiaba, PQ. DOS PIRINEUS, COCALZINHO DE GOIAS",26,3,0.09,0.09,0.11,5,Caiçaras
-44.0042889,-19.935698,0,"RUA DO GARIMPO,N. 155, JARDINOPOLIS, BELO HORIZONTE",119,1,0.07,0.01,0.03,7,Oeste
-43.96405015,-19.9027163,0,"RUA PROFESSOR IRINEU JOSE DE PAULA,N. 20, PREVIDENCIARIOS, JUIZ DE FORA",105,1,0.09,0.09,0.11,5,Caiçaras
-44.4402844,-20.1978104,0,"RUA SÃO PAULO,N. 152 BL. E, BAIRRO SÃO FRANCISCO, ITATIAIUÇU, ITATIAIUCU",90,1,46.22,46.11,46.17,6,
-48.0554405,-15.83148415,56.3,"Qd-C11, TAGUATINGA CENTRO, TAGUATINGA",171,1,614.24,614.18,614.18,6,
-44.7143124,-17.6285892,0,"RUA DEZESSEIS,N. 162 BAIRRO PEDRAS GRANDES, VARZEA DA PALMA, VARZEA DA PALMA",77,3,250.7,250.67,250.67,6,
-43.9514316,-19.8598222,0,"RUA ANTONIO PAULINO DE CASTRO,N. 104, LIBERDADE, BELO HORIZONTE",320,1,0.09,0.1,0.08,8,Jaraguá
-43.96405015,-19.9027163,0,"RUA JOAQUIM LUCIO,N. 214 BAIRRO SAO JOSE, BUGRE, BUGRE",58,4,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,0,"LT 06 LOTEAMENTO CHÁCARAS ACURUÍ (RUA C CHÁCARAS, DISTRITO DE ACURUÍ), ACURUÍ, ITABIRITO",80,4,0.09,0.09,0.11,5,Caiçaras
-44.60809,-19.8395415,46.54,"RUA ALFREDO LEITE,N. 425, SAO CRISTOVAO, PARA DE MINAS",75,1,59.08,59.03,59.06,6,
-43.96405015,-19.9027163,0,"ALAMEDA TRIANGULO,N. 90 BAIRRO JARDIM PLANALTO, SANTA VITÓRIA, SANTA VITORIA",267,3,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,0,"RUA VALDIVINA MARIA RODRIGUES,N. 75 SETOR 04, CENTRO, LAGOA GRANDE",841,3,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,0,"TRAVESSA FREI INOCENCIO,N. 170 FUNDOS, BAIRRO VILA NOVA, MANTENA, MANTENA",200,4,0.09,0.09,0.11,5,Caiçaras
-43.3499305,-21.7921568,0,"RUA CAPITAO ANTONIO CARIAS,N. 89, IPIRANGA, JUIZ DE FORA",50,4,207.63,207.62,207.68,6,
-43.96405015,-19.9027163,68.03,"RUA LEVI CUSTÓDIO,N. 30 BAIRRO JARDIM DAS ALTEROSAS, LAVRAS, LAVRAS",40,3,0.09,0.09,0.11,5,Caiçaras
-44.0041631,-19.8673514,95.53,"RUA CASABLANCA,N. 861, SANTA TEREZINHA, BELO HORIZONTE",132,1,0.04,0.05,0.07,8,Santa Terezinha
-43.96405015,-19.9027163,62.33,"RUA ANTÔNIO DE VILLA,N. 11 BAIRRO RESIDENCIAL JARDIM ESPLANADA, TUPACIGUARA, TUPACIGUARA",36,3,0.09,0.09,0.11,5,Caiçaras
-43.9629682,-19.8416203,79.32,"RUA SAO MIGUEL,N. 170 CASA 02, JARDIM ATLANTICO, BELO HORIZONTE",157,3,0.08,0.08,0.02,8,Itapoã
-43.96405015,-19.9027163,0,"RUA ALCIDES DAYRELL,N. 193, CENTRO, COROMANDEL",26,3,0.09,0.09,0.11,5,Caiçaras
